a,அ,^,
a,,,
a:,ஆ,^,
a:,ா,,
aa,ஆ,^,
aa,ா,,
A,ஆ,^,
A,ா,,
i,இ,^,
i,ி,,
i:,ஈ,^,
i:,ீ,,
ii,ஈ,^,
ii,ீ,,
I,ஈ,^,
I,ீ,,
u,உ,^,
u,ு,,
u:,ஊ,^,
u:,ூ,,
uu,ஊ,^,
uu,ூ,,
U,ஊ,^,
U,ூ,,
e,எ,^,
e,ெ,,
e:,ஏ,^,
e:,ே,,
ee,ஏ,^,
ee,ே,,
E,ஏ,^,
E,ே,,
ai,ஐ,^,
ai,ை,,
o,ஒ,^,
o,ொ,,
o:,ஓ,^,
o:,ோ,,
oo,ஓ,^,
oo,ோ,,
O,ஓ,^,
O,ோ,,
ow,ஔ,^,
ow,ௌ,,
au,ஔ,^,
au,ௌ,,
k,க,,[aeiou]
k,க்,,
g,க,,[aeiou]
g,க்,,
h,ஹ,^,
h,க,,
ng,ங்க,,[aeiou]
ng,ங்,,
ch,ச,,[aeiou]
ch,ச்,,
s,ச,,[aeiou]
s,ச்,,
sh,ஷ,,[aeiou]
sh,ஷ்,,
ny,ஞ,,[aeiou]
ny,ஞ்,,
nj,ஞ்ச,,
j,ஜ,,[aeiou]
j,ஜ்,,
ṭ,ட,,[aeiou]
ṭ,ட்,,
ḍ,ட,,[aeiou]
ḍ,ட்,,
T,ட,,[aeiou]
T,ட்,,
D,ட,,[aeiou]
D,ட்,,
ṇ,ண,,[aeiou]
ṇ,ண்,,
N,ண,,[aeiou]
N,ண்,,
th,த,,[aeiou]
th,த்,,
ttr,ற்ற,,
t,த,,[aeiou]
t,த்,,
dhr,திர,,
dh,த,,[aeiou]
dh,த்,,
d,த,,[aeiou]
d,த்,,
n,ந,^,
n,ந்,,[td]
{}n,ந,,[aeiou]
{}n,ந்,,
n,ண்,,T
n,ண்,,D
n,ண்,,ṭ
n,ண்,,ḍ
n,ன,,[aeiou]
n,ன்,,
p,ப,,[aeiou]
p,ப்,,
b,ப,,[aeiou]
b,ப்,,
m,ம,,[aeiou]
m,ம்,,
y,ய,,[aeiou]
y,ய்,,
r,ர,,[aeiou]
r,ர்,,
l,ல,,[aeiou]
l,ல்,,
v,வ,,[aeiou]
v,வ்,,
zh,ழ,,[aeiou]
zh,ழ்,,
ḷ,ள,,[aeiou]
ḷ,ள்,,
L,ள,,[aeiou]
L,ள்,,
ṛ,ற,,[aeiou]
ṛ,ற்,,
R,ற,,[aeiou]
R,ற்,,
