ng,ங்க,,VOWEL
ch,ச,,VOWEL
sh,ஷ,,VOWEL
ny,ஞ,,VOWEL
nj,ஞ்ச,,
n,ந,^,
n,ந்,,[td](?!\u0323)
n,ண்,,T
n,ண்,,D
n,ண்,,ṭ
n,ண்,,ḍ
n,ன,,VOWEL
n,ன்,,
ttr,ற்ற,,
dhr,திர,,
ṭ,ட,,VOWEL
ḍ,ட,,VOWEL
ṇ,ண,,VOWEL
th,த,,VOWEL
dh,த,,VOWEL
{}n,ந,,VOWEL
zh,ழ,,VOWEL
ḷ,ள,,VOWEL
ṛ,ற,,VOWEL
ng,ங்,,
ch,ச்,,
sh,ஷ்,,
ny,ஞ்,,
ṭ,ட்,,
ḍ,ட்,,
ṇ,ண்,,
th,த்,,
dh,த்,,
{}n,ந்,,
zh,ழ்,,
ḷ,ள்,,
ṛ,ற்,,
k,க,,VOWEL
k,க்,,
g,க,,VOWEL
g,க்,,
h,ஹ,^,
h,க,,
s,ச,,VOWEL
s,ச்,,
j,ஜ,,VOWEL
j,ஜ்,,
T,ட,,VOWEL
T,ட்,,
D,ட,,VOWEL
D,ட்,,
N,ண,,VOWEL
N,ண்,,
t,த,,VOWEL
t,த்,,
d,த,,VOWEL
d,த்,,
p,ப,,VOWEL
p,ப்,,
b,ப,,VOWEL
b,ப்,,
m,ம,,VOWEL
m,ம்,,
y,ய,,VOWEL
y,ய்,,
r,ர,,VOWEL
r,ர்,,
l,ல,,VOWEL
l,ல்,,
v,வ,,VOWEL
v,வ்,,
L,ள,,VOWEL
L,ள்,,
R,ற,,VOWEL
R,ற்,,
aa,ஆ,^,
ii,ஈ,^,
ee,ஈ,^,
uu,ஊ,^,
oo,ஊ,^,
ae,ஏ,^,
ai,ஐ,^,
ow,ஔ,^,
au,ஔ,^,
aa,ா,,
ii,ீ,,
ee,ீ,,
uu,ூ,,
oo,ூ,,
ae,ே,,
ai,ை,,
ow,ௌ,,
au,ௌ,,
a:,ஆ,^,
i:,ஈ,^,
u:,ஊ,^,
e:,ஏ,^,
o:,ஓ,^,
a:,ா,,
i:,ீ,,
u:,ூ,,
e:,ே,,
o:,ோ,,
a,அ,^,
A,ஆ,^,
i,இ,^,
I,ஈ,^,
u,உ,^,
U,ஊ,^,
e,எ,^,
E,ஏ,^,
o,ஒ,^,
O,ஓ,^,
a,,,
i,ி,,
u,ு,,
e,ெ,,
o,ொ,,
A,ா,,
I,ீ,,
U,ூ,,
E,ே,,
O,ோ,,
