அ,a
ஆ,a:
இ,i
ஈ,i:
உ,u
ஊ,u:
எ,e
ஏ,e:
ஐ,ai
ஒ,o
ஓ,o:
ஔ,ow
க,ka
கா,ka:
கி,ki
கீ,ki:
கு,ku
கூ,ku:
கெ,ke
கே,ke:
கை,kai
கொ,ko
கோ,ko:
கௌ,kow
க்,k
ங,nga
ஙா,nga:
ஙி,ngi
ஙீ,ngi:
ஙு,ngu
ஙூ,ngu:
ஙெ,nge
ஙே,nge:
ஙை,ngai
ஙொ,ngo
ஙோ,ngo:
ஙௌ,ngow
ங்,ng
ச,cha
சா,cha:
சி,chi
சீ,chi:
சு,chu
சூ,chu:
செ,che
சே,che:
சை,chai
சொ,cho
சோ,cho:
சௌ,chow
ச்,ch
ஞ,nya
ஞா,nya:
ஞி,nyi
ஞீ,nyi:
ஞு,nyu
ஞூ,nyu:
ஞெ,nye
ஞே,nye:
ஞை,nyai
ஞொ,nyo
ஞோ,nyo:
ஞௌ,nyow
ஞ்,nj
ட,ṭa
டா,ṭa:
டி,ṭi
டீ,ṭi:
டு,ṭu
டூ,ṭu:
டெ,ṭe
டே,ṭe:
டை,ṭai
டொ,ṭo
டோ,ṭo:
டௌ,ṭow
ட்,ṭ
ண,ṇa
ணா,ṇa:
ணி,ṇi
ணீ,ṇi:
ணு,ṇu
ணூ,ṇu:
ணெ,ṇe
ணே,ṇe:
ணை,ṇai
ணொ,ṇo
ணோ,ṇo:
ணௌ,ṇow
ண்,ṇ
த,tha
தா,tha:
தி,thi
தீ,thi:
து,thu
தூ,thu:
தெ,the
தே,the:
தை,thai
தொ,tho
தோ,tho:
தௌ,thow
த்,th
ந,na
நா,na:
நி,ni
நீ,ni:
நு,nu
நூ,nu:
நெ,ne
நே,ne:
நை,nai
நொ,no
நோ,no:
நௌ,now
ந்,n
ப,pa
பா,pa:
பி,pi
பீ,pi:
பு,pu
பூ,pu:
பெ,pe
பே,pe:
பை,pai
பொ,po
போ,po:
பௌ,pow
ப்,p
ம,ma
மா,ma:
மி,mi
மீ,mi:
மு,mu
மூ,mu:
மெ,me
மே,me:
மை,mai
மொ,mo
மோ,mo:
மௌ,mow
ம்,m
ய,ya
யா,ya:
யி,yi
யீ,yi:
யு,yu
யூ,yu:
யெ,ye
யே,ye:
யை,yai
யொ,yo
யோ,yo:
யௌ,yow
ய்,y
ர,ra
ரா,ra:
ரி,ri
ரீ,ri:
ரு,ru
ரூ,ru:
ரெ,re
ரே,re:
ரை,rai
ரொ,ro
ரோ,ro:
ரௌ,row
ர்,r
ல,la
லா,la:
லி,li
லீ,li:
லு,lu
லூ,lu:
லெ,le
லே,le:
லை,lai
லொ,lo
லோ,lo:
லௌ,low
ல்,l
வ,va
வா,va:
வி,vi
வீ,vi:
வு,vu
வூ,vu:
வெ,ve
வே,ve:
வை,vai
வொ,vo
வோ,vo:
வௌ,vow
வ்,v
ழ,zha
ழா,zha:
ழி,zhi
ழீ,zhi:
ழு,zhu
ழூ,zhu:
ழெ,zhe
ழே,zhe:
ழை,zhai
ழொ,zho
ழோ,zho:
ழௌ,zhow
ழ்,zh
ள,ḷa
ளா,ḷa:
ளி,ḷi
ளீ,ḷi:
ளு,ḷu
ளூ,ḷu:
ளெ,ḷe
ளே,ḷe:
ளை,ḷai
ளொ,ḷo
ளோ,ḷo:
ளௌ,ḷow
ள்,ḷ
ற,ṛa
றா,ṛa:
றி,ṛi
றீ,ṛi:
று,ṛu
றூ,ṛu:
றெ,ṛe
றே,ṛe:
றை,ṛai
றொ,ṛo
றோ,ṛo:
றௌ,ṛow
ற்,ṛ
ன,na
னா,na:
னி,ni
னீ,ni:
னு,nu
னூ,nu:
னெ,ne
னே,ne:
னை,nai
னொ,no
னோ,no:
னௌ,now
ன்,n
ா,a:
ி,i
ீ,i:
ு,u
ூ,u:
ெ,e
ே,e:
ை,ai
ொ,o
ோ,o:
ௌ,ow
